row_id,order_id,order_date,order_priority,order_quantity,sales,ship_mode,profit,unit_price,customer_name,province,region,customer_segment,product_category,product_sub_category,product_name,product_container
1,3,13/10/10,Low,6,261.54,Regular Air,-213.25,38.94,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box
49,293,1/10/12,High,49,10123.02,Delivery Truck,457.81,208.16,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum
50,293,1/10/12,High,27,244.57,Regular Air,46.71,8.69,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box
80,483,10/7/11,High,30,4965.7595,Regular Air,1198.97,195.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box
85,515,28/8/10,Not Specified,19,394.27,Regular Air,30.94,21.78,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box
86,515,28/8/10,Not Specified,21,146.69,Regular Air,4.43,6.64,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack
97,613,17/6/11,High,12,93.54,Regular Air,-54.04,7.3,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box
98,613,17/6/11,High,22,905.08,Regular Air,127.7,42.76,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box
103,643,24/3/11,High,21,2781.82,Express Air,-695.26,138.14,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box
107,678,26/2/10,Low,44,228.41,Regular Air,-226.36,4.98,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box
127,807,23/11/10,Medium,45,196.85,Regular Air,-166.85,4.28,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box
128,807,23/11/10,Medium,32,124.56,Regular Air,-14.33,3.95,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag
134,868,8/6/12,Not Specified,32,716.84,Regular Air,134.72,21.78,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box
135,868,8/6/12,Not Specified,31,1474.33,Regular Air,114.46,47.98,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack
149,933,4/8/12,Not Specified,15,80.61,Regular Air,-4.72,5.28,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box
160,995,30/5/11,Medium,46,1815.49,Regular Air,782.91,39.89,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag
161,998,25/11/09,Not Specified,16,248.26,Regular Air,93.8,15.74,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box
175,1154,14/2/12,Critical,44,4462.23,Delivery Truck,440.72,100.98,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box
176,1154,14/2/12,Critical,11,663.784,Regular Air,-481.04,71.37,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box
203,1344,15/4/12,Low,15,834.904,Regular Air,-11.68,65.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box
204,1344,15/4/12,Low,18,2480.9205,Regular Air,313.58,155.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box
213,1412,12/3/10,Not Specified,13,59.03,Express Air,26.92,3.69,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box
214,1412,12/3/10,Not Specified,21,97.48,Regular Air,-5.77,4.71,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag
229,1539,9/3/11,Low,33,511.83,Regular Air,-172.88,15.99,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box
230,1539,9/3/11,Low,38,184.99,Regular Air,-144.55,4.89,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack
231,1540,4/8/12,High,30,80.9,Regular Air,5.76,2.88,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag
249,1702,6/5/11,High,23,67.24,Regular Air,4.9,2.84,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag
250,1761,23/12/10,High,25,12028.23,Delivery Truck,-547.61,449.99,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum
256,1792,8/11/10,Low,28,370.48,Regular Air,-5.45,13.48,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box
330,2275,21/10/12,Not Specified,49,278.0,Regular Air,41.67,6.08,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag
